Crossresult Race ID	Race/Category Name	Points to be predicted in 10th place	Race Date	Region	Lat	Lon	Gender
2453	Cross Vegas: Women  Elite 	286.84	9/19/2012	California	36.255123	-115.2383485	W
2853	USGP #6: Derby City Cup Day 2: Women Pro/Cat 1  	294.14	11/11/2012	North Central	38.2526647	-85.7584557	W
2852	USGP #5: Derby City Cup Day 1: Women Pro/Cat 1  	294.14	11/10/2012	North Central	38.2526647	-85.7584557	W
2482	USGP Planet Bike Cup #1: Women Pro/Cat 1  	296.84	9/22/2012	North Central	43.1836046	-89.2137254	W
2483	USGP Planet Bike Cup #2: Women Pro/Cat 1  	296.84	9/23/2012	North Central	43.1836046	-89.2137254	W
2499	Great Brewers Gran Prix of Gloucester Day 1: UCI Elite Women	299.77	9/29/2012	New England	42.6159285	-70.6619888	W
2500	Great Brewers Gran Prix of Gloucester Day 2: UCI Elite Women	299.77	9/30/2012	New England	42.6159285	-70.6619888	W
3115	USGP #7: Deschutes Brewery Cup: Women Cat A	308.82	12/8/2012	Pacific Northwest	44.0581728	-121.3153096	W
3118	USGP #8: Deschutes Brewery Cup: Women Cat A	310.26	12/9/2012	Pacific Northwest	44.0581728	-121.3153096	W
2534	Providence Cyclocross Festival Day 1: UCI Elite Women                                   	310.79	10/6/2012	New England	41.8239891	-71.4128343	W
2617	USGP #3: SmartWool Cup p/b FC Bikes: Women Pro/Cat 1  	312.69	10/13/2012	Mountain West	40.5852602	-105.084423	W
2619	USGP #4: SmartWool Cup p/b FC Bikes: Women Pro/Cat 1  	312.69	10/14/2012	Mountain West	40.5852602	-105.084423	W
3196	Cross Nationals Day 5: Women UCI Elite 	317.33	1/13/2013	North Central	42.990831	-89.5331773	W
2546	Providence Cyclocross Festival Day 2: UCI Elite Women	325.72	10/7/2012	New England	41.8239891	-71.4128343	W
2920	The UCI Carousel Volkswagen Jingle Cross Rock - Rock 1: Women Cat 1/2  	333.32	11/16/2012	North Central	41.6611277	-91.5301683	W
2922	The 2012 UCI Carousel Volkswagen Jingle Cross Rock Day 3: Elite women	338.84	11/18/2012	North Central	41.6611277	-91.5301683	W
3032	CXLA Saturday: Women Elite	343.27	12/1/2012	California	34.0522342	-118.2436849	W
3034	CXLA Sunday: Elite Women	343.27	12/2/2012	California	34.0522342	-118.2436849	W
3025	NBX Gran Prix Day 1: UCI Elite Women	349.08	12/1/2012	New England	41.7001009	-71.4161671	W
3026	NBX Gran Prix Day 2: UCI Elite Women	349.08	12/2/2012	New England	41.7001009	-71.4161671	W
2800	Cincy3: Lionheart International at Kings CX: Women UCI Elite Women  	355.95	11/3/2012	North Central	39.3600586	-84.309939	W
2799	Cincy3 Harbin Park: Women UCI Elite Women  	355.95	11/4/2012	North Central	39.3454673	-84.5603187	W
2964	Baystate Cyclocross Day 2: UCI Elite Women	360.93	11/25/2012	New England	42.4374156	-71.7606293	W
2950	Bay State Cyclocross Day 1: UCI Elite Women	360.93	11/24/2012	New England	42.4374156	-71.7606293	W
2921	The 2012 UCI Carousel Volkswagen Jingle Cross Rock - Day 2: Women Cat 1/2  	361.13	11/17/2012	North Central	41.6611277	-91.5301683	W
2437	Nittany Cross Day 1: UCI Women	370.08	9/15/2012	Mid Atlantic	40.5393961	-75.631484	W
2759	Colorado Cross Classic: Women  Senior 	375.33	10/27/2012	Mountain West	40.0149856	-105.2705456	W
2782	Victory Circle Graphix Boulder Cup: Women UCI Elite 	375.33	10/28/2012	Mountain West	40.0149856	-105.2705456	W
2786	Cycle-Smart International Day 2: UCI Elite Women	380.51	11/4/2012	New England	42.3250896	-72.6412013	W
2443	Nittany Lion Cross Day 2: UCI Women  	383.63	9/16/2012	Mid Atlantic	40.5479136	-75.6059177	W
2784	Cycle-Smart International Day 1: UCI Elite Women	386.26	11/3/2012	New England	42.3250896	-72.6412013	W
3142	North Carolina Grand Prix : Women UCI Elite 	386.99	12/15/2012	Southeast	35.3187279	-82.4609528	W
3143	North Carolina Grand Prix Day 2: Women UCI Elite 	387.27	12/16/2012	Southeast	35.3187279	-82.4609528	W
3181	Chicago Cyclocross Cup New Year's Resolution Day 1: Women Pro/Cat 1/2  	387.86	1/5/2013	North Central	41.9575285	-88.0809036	W
2797	Cincy3 Cyclo-Stampede, p/b Darkhorse Racing: Women Elite Women 1/2  	388.54	11/2/2012	North Central	39.0836712	-84.5085536	W
2469	Charm City Cyclocross Day 1: UCI Elite Women/Masters Women 35+	390.52	9/23/2012	Mid Atlantic	39.2903848	-76.6121893	W
2470	Charm City Cyclocross Day 2: UCI Elite Women/Masters Women 35+	390.52	9/23/2012	Mid Atlantic	39.2903848	-76.6121893	W
2672	2012 Downeast Cyclocross Weekend Day 2: UCI Elite Women	400.24	10/21/2012	New England	43.962853	-70.2825536	W
2428	Green Mountain Cyclocross Day 2: UCI Elite Women	400.78	9/16/2012	New England	44.4452778	-73.0991667	W
3182	Chicago Cyclocross Cup New Year's Resolution Day 2: Women Pro/Cat 1/2  	401.84	1/6/2013	North Central	41.9575285	-88.0809036	W
3068	Super Cross Cup Day 1: UCI Elite Women	404.24	12/8/2012	New York/Ontario	40.7139898	-73.5590157	W
2736	Spooky Kross Day 2: Women UCI Elite 	405.08	10/21/2012	California	34.0552267	-117.7523048	W
2735	Spooky Kross Day 1: Women UCI Elite 	405.08	10/20/2012	California	34.0552267	-117.7523048	W
2421	Ellison Park Cyclocross Day 2: Women Cat 1/2/3  	405.51	9/9/2012	New York/Ontario	43.16103	-77.6109219	W
2420	Ellison Park Cyclocross Day 1: Women Cat 1/2  	405.51	9/8/2012	New York/Ontario	43.16103	-77.6109219	W
2739	Highland Park Cyclocross: UCI Elite Women	412.62	10/28/2012	Mid Atlantic	40.3526079	-74.4401513	W
2670	2012 Downeast Cyclocross Weekend Day 1: UCI Elite Women	420.95	10/20/2012	New England	43.962853	-70.2825536	W
3214	Kings International Cyclocross: Women UCI Elite Women  	428.57	1/26/2013	North Central	39.3600586	-84.309939	W
2426	Green Mountain Cyclocross Day 1: UCI Elite Women	429.77	9/15/2012	New England	44.4452778	-73.0991667	W
3070	Super Cross Cup Day 2: UCI Elite Women	455.48	12/9/2012	New York/Ontario	40.7139898	-73.5590157	W
2505	Gateway Cross Cup: Women Pro/Cat 1  	505.47	9/26/2012	North Central	38.666233	-90.331081	W
