Crossresult Race ID	Race/Category Name	Average Points of top 10 finishers	Racer Count	Race Date	Region	Lat	Lon	Gender
2735	Spooky Kross Day 1: Men UCI Elite 	225.069208920737	10	00:00.0	California	34.0552267	-117.7523048	M
2736	Spooky Kross Day 2: Men UCI Elite 	227.560880451452	10	00:00.0	California	34.0552267	-117.7523048	M
3118	USGP #8: Deschutes Brewery Cup: Men Cat A	234.702595496157	10	00:00.0	Pacific Northwest	44.0581728	-121.3153096	M
2852	USGP #5: Derby City Cup Day 1: Women Pro/Cat 1  	276.454243764699	10	00:00.0	North Central	38.2526647	-85.7584557	W
2853	USGP #6: Derby City Cup Day 2: Women Pro/Cat 1  	279.027548982827	10	00:00.0	North Central	38.2526647	-85.7584557	W
2483	USGP Planet Bike Cup #2: Women Pro/Cat 1  	282.100372014497	10	00:00.0	North Central	43.1836046	-89.2137254	W
2482	USGP Planet Bike Cup #1: Women Pro/Cat 1  	283.740492997406	10	00:00.0	North Central	43.1836046	-89.2137254	W
2534	Providence Cyclocross Festival Day 1: UCI Elite Women                                   	286.720115434338	10	00:00.0	New England	41.8239891	-71.4128343	W
2499	Great Brewers Gran Prix of Gloucester Day 1: UCI Elite Women	292.082127743123	10	00:00.0	New England	42.6159285	-70.6619888	W
3196	Cross Nationals Day 5: Women UCI Elite 	293.641528732996	10	00:00.0	North Central	42.990831	-89.5331773	W
3118	USGP #8: Deschutes Brewery Cup: Women Cat A	294.881560234121	10	00:00.0	Pacific Northwest	44.0581728	-121.3153096	W
2453	Cross Vegas: Women  Elite 	298.764580173031	10	00:00.0	California	36.255123	-115.2383485	W
2920	The UCI Carousel Volkswagen Jingle Cross Rock - Rock 1: Women Cat 1/2  	299.87481432279	10	00:00.0	North Central	41.6611277	-91.5301683	W
3115	USGP #7: Deschutes Brewery Cup: Women Cat A	300.884004221356	10	00:00.0	Pacific Northwest	44.0581728	-121.3153096	W
2922	The 2012 UCI Carousel Volkswagen Jingle Cross Rock Day 3: Elite women	304.507242133075	10	00:00.0	North Central	41.6611277	-91.5301683	W
2500	Great Brewers Gran Prix of Gloucester Day 2: UCI Elite Women	308.414534708113	10	00:00.0	New England	42.6159285	-70.6619888	W
3034	CXLA Sunday: Elite Women	313.337189444082	10	00:00.0	California	34.0522342	-118.2436849	W
3032	CXLA Saturday: Women Elite	313.760119486946	10	00:00.0	California	34.0522342	-118.2436849	W
2799	Cincy3 Harbin Park: Women UCI Elite Women  	315.089705172841	10	00:00.0	North Central	39.3454673	-84.5603187	W
2437	Nittany Cross Day 1: UCI Women	318.481014118339	10	00:00.0	Mid Atlantic	40.5393961	-75.631484	W
2617	USGP #3: SmartWool Cup p/b FC Bikes: Women Pro/Cat 1  	321.365670564339	10	00:00.0	Mountain West	40.5852602	-105.084423	W
2921	The 2012 UCI Carousel Volkswagen Jingle Cross Rock - Day 2: Women Cat 1/2  	321.788218555581	10	00:00.0	North Central	41.6611277	-91.5301683	W
2546	Providence Cyclocross Festival Day 2: UCI Elite Women	325.407565657774	10	00:00.0	New England	41.8239891	-71.4128343	W
2800	Cincy3: Lionheart International at Kings CX: Women UCI Elite Women  	326.680725262451	10	00:00.0	North Central	39.3600586	-84.309939	W
2619	USGP #4: SmartWool Cup p/b FC Bikes: Women Pro/Cat 1  	327.38072734986	10	00:00.0	Mountain West	40.5852602	-105.084423	W
2759	Colorado Cross Classic: Women  Senior 	328.186770855087	10	00:00.0	Mountain West	40.0149856	-105.2705456	W
3214	Kings International Cyclocross: Women UCI Elite Women  	328.325051745282	10	00:00.0	North Central	39.3600586	-84.309939	W
3025	NBX Gran Prix Day 1: UCI Elite Women	328.825043559143	10	00:00.0	New England	41.7001009	-71.4161671	W
3026	NBX Gran Prix Day 2: UCI Elite Women	329.652382143349	10	00:00.0	New England	41.7001009	-71.4161671	W
2443	Nittany Lion Cross Day 2: UCI Women  	330.24612186087	10	00:00.0	Mid Atlantic	40.5479136	-75.6059177	W
2797	Cincy3 Cyclo-Stampede, p/b Darkhorse Racing: Women Elite Women 1/2  	338.647271042616	10	00:00.0	North Central	39.0836712	-84.5085536	W
2421	Ellison Park Cyclocross Day 2: Women Cat 1/2/3  	339.090880198105	10	00:00.0	New York/Ontario	43.16103	-77.6109219	W
2964	Baystate Cyclocross Day 2: UCI Elite Women	343.515765712823	10	00:00.0	New England	42.4374156	-71.7606293	W
2736	Spooky Kross Day 2: Women UCI Elite 	343.617547126505	10	00:00.0	California	34.0552267	-117.7523048	W
2735	Spooky Kross Day 1: Women UCI Elite 	343.617547126505	10	00:00.0	California	34.0552267	-117.7523048	W
2950	Bay State Cyclocross Day 1: UCI Elite Women	344.834461385766	10	00:00.0	New England	42.4374156	-71.7606293	W
2470	Charm City Cyclocross Day 2: UCI Elite Women/Masters Women 35+	346.152652664967	10	00:00.0	Mid Atlantic	39.2903848	-76.6121893	W
2782	Victory Circle Graphix Boulder Cup: Women UCI Elite 	348.657852866622	10	00:00.0	Mountain West	40.0149856	-105.2705456	W
2420	Ellison Park Cyclocross Day 1: Women Cat 1/2  	350.380809168224	10	00:00.0	New York/Ontario	43.16103	-77.6109219	W
2784	Cycle-Smart International Day 1: UCI Elite Women	355.404824873915	10	00:00.0	New England	42.3250896	-72.6412013	W
2786	Cycle-Smart International Day 2: UCI Elite Women	358.348880919319	10	00:00.0	New England	42.3250896	-72.6412013	W
3181	Chicago Cyclocross Cup New Year's Resolution Day 1: Women Pro/Cat 1/2  	361.443237088969	10	00:00.0	North Central	41.9575285	-88.0809036	W
3068	Super Cross Cup Day 1: UCI Elite Women	361.465217055438	10	00:00.0	New York/Ontario	40.7139898	-73.5590157	W
2428	Green Mountain Cyclocross Day 2: UCI Elite Women	368.56427083866	10	00:00.0	New England	44.4452778	-73.0991667	W
2469	Charm City Cyclocross Day 1: UCI Elite Women/Masters Women 35+	371.503398068805	10	00:00.0	Mid Atlantic	39.2903848	-76.6121893	W
3182	Chicago Cyclocross Cup New Year's Resolution Day 2: Women Pro/Cat 1/2  	374.19545669327	10	00:00.0	North Central	41.9575285	-88.0809036	W
2426	Green Mountain Cyclocross Day 1: UCI Elite Women	374.602383962652	10	00:00.0	New England	44.4452778	-73.0991667	W
2670	2012 Downeast Cyclocross Weekend Day 1: UCI Elite Women	375.40281015768	10	00:00.0	New England	43.962853	-70.2825536	W
2672	2012 Downeast Cyclocross Weekend Day 2: UCI Elite Women	378.29326851179	10	00:00.0	New England	43.962853	-70.2825536	W
3142	North Carolina Grand Prix : Women UCI Elite 	378.645836076471	10	00:00.0	Southeast	35.3187279	-82.4609528	W
3070	Super Cross Cup Day 2: UCI Elite Women	385.655841319066	10	00:00.0	New York/Ontario	40.7139898	-73.5590157	W
2739	Highland Park Cyclocross: UCI Elite Women	386.829630294518	10	00:00.0	Mid Atlantic	40.3526079	-74.4401513	W
3143	North Carolina Grand Prix Day 2: Women UCI Elite 	387.29161602067	10	00:00.0	Southeast	35.3187279	-82.4609528	W
2505	Gateway Cross Cup: Women Pro/Cat 1  	390.807847877998	10	00:00.0	North Central	38.666233	-90.331081	W
